States	Fertilitätsrate pro Frau	Anzahl Geburten	Jahr	Quelle
Brandenburg	1.69	20934	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Niedersachsen	1.68	75215	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Sachsen	1.66	37940	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Bremen	1.63	7136	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Thüringen	1.63	18475	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Sachsen-Anhalt	1.62	18092	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Nordrhein-Westfalen	1.61	173274	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Schleswig-Holstein	1.61	25420	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Rheinland-Pfalz	1.60	37518	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Baden-Württemberg	1.59	107487	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Hessen	1.58	60731	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Bayern	1.56	125686	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Mecklenburg-Vorpommern	1.56	13442	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Hamburg	1.55	21480	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Berlin	1.54	41086	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Saarland	1.49	8215	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
Deutschland	1.59	792141	2016	https://de.wikipedia.org/wiki/Liste_der_deutschen_Bundesl%C3%A4nder_nach_Fertilit%C3%A4tsrate
